Mr_ksi,H_AC_in,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
9.923076923076923,5.307692307692308,291.37830619825274,650.0196082251283,467158.2162239202,253314.99622572775,8238.469115850306,rutting
9.923076923076923,5.538461538461538,280.0280728000013,619.4812842922006,532417.488121478,314211.76664830756,9638.123851870441,rutting
9.923076923076923,5.769230769230769,269.17419722405367,591.0002441830527,606390.9029658032,387913.32326829527,11266.601694985033,rutting
9.923076923076923,6.0,258.8043470922331,564.4074093209434,690086.0648031431,476707.63200843055,13157.507835596261,rutting
9.923076923076923,6.230769230769231,248.90318368418383,539.548678124474,784614.749089422,583218.7906625462,15348.908227608357,rutting
9.923076923076923,6.461538461538462,239.4536038725072,516.2837323887985,891199.9016737922,710446.0447681415,17883.803282705787,rutting
9.923076923076923,6.6923076923076925,230.43757204761968,494.4848552687417,1011183.1038012464,861806.3570946346,20810.642720615502,rutting
9.923076923076923,6.923076923076923,221.83667623451328,474.0357982603102,1146032.4911074198,1041180.8642497396,24183.883649772284,rutting
9.923076923076923,7.153846153846154,213.63249870123042,454.8307184847172,1297351.1270615854,1252965.6016177132,28064.594291770027,rutting
9.923076923076923,7.384615384615385,205.80686173332234,436.77319678433525,1466885.8410382627,1502126.9278643893,32521.10608805285,fatigue
9.923076923076923,7.615384615384616,198.34198929707168,419.7753400245091,1656536.5490660458,1794262.1311231204,37629.71725306143,fatigue
9.923076923076923,7.846153846153847,191.22061189998618,403.75696643617425,1868366.0817684957,2135665.749329983,43475.451170288856,fatigue
9.923076923076923,8.076923076923077,184.42603295117505,388.64487004747775,2104610.549296618,2533402.1857982744,50152.873367062435,fatigue
9.923076923076923,8.307692307692308,177.94216888647287,374.3721586855015,2367690.27726246,2995385.247069151,57766.9711480988,fatigue
9.923076923076923,8.538461538461538,171.7535712815241,360.8776592906057,2660221.3508748617,3530465.2726983665,66434.1003131149,fatigue
9.923076923076923,8.76923076923077,165.84543647526377,348.1053840972375,2985027.8066974184,4148524.5656019216,76283.00372558554,fatigue
9.923076923076923,9.0,160.2036064252041,336.00405139839665,3345154.5127439224,4860581.866826851,87455.9068335628,fatigue
9.923076923076923,9.23076923076923,154.8145633176966,324.52665498645365,3743880.7780634244,5678906.650304586,100109.69556522646,fatigue
9.923076923076923,9.461538461538462,149.66541966113616,313.6300768528834,4184734.7326239785,6617144.0416254,114417.18232798933,fatigue
9.923076923076923,9.692307692307693,144.74390506351517,303.2747382671628,4671508.517276214,7690451.190566735,130568.46612789568,fatigue
9.923076923076923,9.923076923076923,140.03835054756192,293.4242848963034,5208274.321966753,8915645.950479366,148772.3930938181,fatigue
9.923076923076923,10.153846153846153,135.5376710262751,284.04530214349114,5799401.308289664,10311368.739117835,169258.1239376983,fatigue
9.923076923076923,10.384615384615385,131.23134640850054,275.10705736112055,6449573.450018283,11898258.475436943,192276.81510746738,fatigue
9.923076923076923,10.615384615384617,127.10940170124196,266.5812660220337,7163808.322556361,13699143.505538998,218103.4205937822,fatigue
9.923076923076923,10.846153846153847,123.16238640475856,258.4418793108813,7947476.869386094,15739248.448446218,247038.62153633145,fatigue
9.923076923076923,11.076923076923077,119.381353446461,250.6648909261969,8806324.170651715,18046417.90872896,279410.8909412834,fatigue
9.923076923076923,11.307692307692308,115.75783786251326,243.2281611666226,9746491.236079339,20651358.018094853,315578.70097012655,fatigue
9.923076923076923,11.538461538461538,112.28383540704712,236.1112566161382,10774537.841549156,23587896.781645905,355932.88039298943,fatigue
9.923076923076923,11.76923076923077,108.9517812449447,229.29530394822396,11897466.42584893,26893264.21632197,400899.1299179389,fatigue
9.923076923076923,12.0,105.75452886339052,222.76285654263808,13122747.061478302,30608393.27870103,450940.7032129956,fatigue
10.461538461538462,3.0,422.64532844737033,1087.996318694138,137374.27951720165,25243.621838744126,1896.6021626714087,rutting
10.461538461538462,3.230769230769231,409.9883638445464,1025.7955481853674,151831.3927642967,32855.902812793414,2138.5707338350526,rutting
10.461538461538462,3.4615384615384617,396.32313549380405,968.0114991538435,169750.8766658904,42593.72077259421,2444.917219085327,rutting
10.461538461538462,3.6923076923076925,382.2097850074909,914.3957723948071,191265.85930283027,54971.146582832116,2821.335122342251,rutting
10.461538461538462,3.9230769230769234,368.0188803505588,864.6753181980953,216627.7983540336,70605.98092521988,3276.021560029615,rutting
10.461538461538462,4.153846153846154,353.99175549936075,818.5701631993826,246181.96620783108,90236.31249933108,3819.418183751078,rutting
10.461538461538462,4.384615384615385,340.2821204354641,775.8046958661249,280356.1619296298,114739.02063819664,4464.181621937299,rutting
10.461538461538462,4.615384615384615,326.98457251661915,736.1145357532905,319656.4430773604,145150.36223777075,5225.283801654672,rutting
10.461538461538462,4.846153846153847,314.1540343950455,699.2504214405473,364666.82126383594,182688.78554138239,6120.1945790452755,rutting
10.461538461538462,5.076923076923077,301.81895198792273,664.9801178401319,416051.34495595726,228780.1171078097,7169.123213427663,rutting
10.461538461538462,5.307692307692308,289.99022563353475,633.0890330270207,474557.724225026,285085.2743759924,8395.307041104557,rutting
10.461538461538462,5.538461538461538,278.6672370803187,603.3800164197759,541022.0288175247,353530.66593490663,9825.341782150095,rutting
10.461538461538462,5.769230769230769,267.8419071460036,575.6726582785578,616374.1918811143,436341.4562051577,11489.551167616353,rutting
10.461538461538462,6.0,257.50142195803664,549.8023055656621,701644.1625647458,536077.891820814,13422.39538887692,rutting
