H_AC_in,H_BASE_in,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
7.615384615384616,17.128205128205128,187.47021766424217,287.478785360577,1994217.5715320348,9771347.96841937,47012.871094066184,fatigue
7.846153846153847,17.128205128205128,180.8107673277758,278.3004772341138,2246298.918875469,11299095.841352148,54231.39623860139,fatigue
8.076923076923077,17.128205128205128,174.453542341786,269.54063730935343,2527111.9843659657,13038507.469616095,62465.34068815738,fatigue
8.307692307692308,17.128205128205128,168.38366032879196,261.17537311121333,2839484.888688042,15015060.464296693,71841.79954694129,fatigue
8.538461538461538,17.128205128205128,162.586884513299,253.18221629279455,3186473.222707478,17256877.9398507,82501.54015492268,fatigue
8.76923076923077,17.128205128205128,157.04961640185786,245.54005814305714,3571373.831432671,19794971.05149198,94600.21048441599,fatigue
9.0,17.128205128205128,151.7588834146303,238.22908332861175,3997739.2749697245,22663502.226727255,108309.63403307268,fatigue
9.23076923076923,17.128205128205128,146.70232324626647,231.23070330079378,4469393.00265668,25900070.56728334,123819.19662636587,fatigue
9.461538461538462,17.128205128205128,141.86816612152714,224.52749036485972,4990445.2782068,29546020.915985167,141337.33088443833,fatigue
9.692307692307693,17.128205128205128,137.245215715812,218.10311309238617,5565309.89463316,33646778.093562074,161093.10444306515,fatigue
9.923076923076923,17.128205128205128,132.82282925615215,211.9422735317493,6198721.717997719,38252207.8137556,183337.9183424813,fatigue
10.153846153846153,17.128205128205128,128.59089715446413,206.0306465119164,6895755.098669361,43417005.78225953,208347.3223073676,fatigue
10.384615384615385,17.128205128205128,124.5398224194957,200.35482122380805,7661843.187841393,49201116.47648497,236422.95393335976,fatigue
10.615384615384617,17.128205128205128,120.66050002580951,194.90224518725717,8502798.195622908,55670183.0893689,267894.6090680366,fatigue
10.846153846153847,17.128205128205128,116.94429637378559,189.661170659852,9424832.62514515,62896030.10142769,303122.4509255501,fatigue
11.076923076923077,17.128205128205128,113.38302894514428,184.62060350881814,10434581.514899164,70957179.92102703,342499.3657032576,fatigue
11.307692307692308,17.128205128205128,109.96894623833963,179.77025454313164,11539125.719008416,79939405.00296845,386453.47267500364,fatigue
11.538461538461538,17.128205128205128,106.69470805372366,175.10049328625882,12746016.252423508,89936316.81955849,435450.7969195129,fatigue
11.76923076923077,17.128205128205128,103.55336618744153,170.60230415763797,14063299.725160997,101049993.01572499,489998.11300360307,fatigue
12.0,17.128205128205128,100.53834558417746,166.26724502153354,15499544.886756688,113391644.02969915,550645.968079261,fatigue
3.0,17.53846153846154,399.59069956126,588.1788339031638,165225.27995734412,396313.7162558629,2366.9087975776283,fatigue
3.230769230769231,17.53846153846154,387.28273028709884,565.3485289265052,183143.75055072416,473165.1243235209,2678.1830227672126,fatigue
3.4615384615384617,17.53846153846154,374.1354206137533,543.3579648894823,205189.3505926241,565135.3332471852,3069.555629952148,fatigue
3.6923076923076925,17.53846153846154,360.65686459405487,522.2436213705528,231523.8110643579,674861.3937804253,3548.170848102307,fatigue
3.9230769230769234,17.53846153846154,347.1780308127564,502.0212397395032,262443.1712515178,805378.155841654,4124.127283733557,fatigue
4.153846153846154,17.53846153846154,333.91030289968626,482.69072377843634,298350.62221954536,960166.9432498098,4810.188167796683,fatigue
4.384615384615385,17.53846153846154,320.9848950102841,464.2401645656879,339744.0655269293,1143208.7292576518,5621.755889253265,fatigue
4.615384615384615,17.53846153846154,308.47965062965653,446.6490695316192,387211.462872783,1359042.1556632547,6576.995956098312,fatigue
4.846153846153847,17.53846153846154,296.43714897165114,429.8909089862982,441430.5705287175,1612826.7447811957,7697.055456784744,fatigue
5.076923076923077,17.53846153846154,284.8768707518559,413.9350970875194,503171.3109750147,1910411.6696072095,9006.349033479217,fatigue
5.307692307692308,17.53846153846154,273.80333117175263,398.7485143968055,573299.854501607,2258410.4725473416,10532.89915299333,fatigue
5.538461538461538,17.53846153846154,263.2114911101548,384.2966644014789,652783.9043698192,2664282.157840098,12308.724557279867,fatigue
5.769230769230769,17.53846153846154,253.090340755669,370.54454092416296,742698.9012095496,3136419.12821634,14370.274559407282,fatigue
6.0,17.53846153846154,243.4252617795559,357.4572691234809,844234.9824133775,3684242.4929201556,16758.90893024665,fatigue
6.230769230769231,17.53846153846154,234.19957657041525,345.00057051029495,958704.5989502802,4318305.341721574,19521.424302576554,fatigue
6.461538461538462,17.53846153846154,225.3955585119357,333.14109215726967,1087550.7303541754,5050404.656949543,22710.628724354392,fatigue
6.6923076923076925,17.53846153846154,216.9950862244107,321.8466318958852,1232355.6618618742,5893702.621062741,26385.966448174768,fatigue
6.923076923076923,17.53846153846154,208.98006338890846,311.08628451402313,1394850.302808627,6862858.16845138,30614.195373799244,fatigue
7.153846153846154,17.53846153846154,201.3326847041622,300.8305285213306,1576924.0361785989,7974169.724206954,35470.11983407189,fatigue
7.384615384615385,17.53846153846154,194.0356011342651,291.051268697691,1780635.0976247694,9245730.16651205,41037.38166970578,fatigue
7.615384615384616,17.53846153846154,187.0720194105902,281.7218461775842,2008221.4893333034,10697595.140166217,47409.312796010425,fatigue
7.846153846153847,17.53846153846154,180.42575871271058,272.8170250809693,2262112.4403059515,12351965.933934689,54689.85273504118,fatigue
8.076923076923077,17.53846153846154,174.08127951699112,264.3129625415013,2544940.430186017,14233388.21171927,62994.53487416297,fatigue
8.307692307692308,17.53846153846154,168.0236943884238,256.1871672929568,2859553.7987267193,16368967.955411082,72451.54551709056,fatigue
8.538461538461538,17.53846153846154,162.23876707858292,248.41845066280698,3209029.96739226,18788606.034723304,83202.86011418648,fatigue
8.76923076923077,17.53846153846154,156.71290406594295,240.9868728126044,3596689.3033575546,21525252.86595052,95405.46139174365,fatigue
9.0,17.53846153846154,151.43314122672976,233.87368629640488,4026109.6592948525,24615184.657596257,109232.64444089685,fatigue
9.23076923076923,17.53846153846154,146.3871273857385,227.0612784299285,4501141.624773362,28098302.766703002,124875.41417098035,fatigue
9.461538461538462,17.53846153846154,141.56310588985002,220.5331135329552,5025924.526838524,32018457.706307188,142543.98087485635,fatigue
9.692307692307693,17.53846153846154,136.9498949560311,214.27367579160443,5604903.21838163,36423799.35265054,162469.35999031304,fatigue
9.923076923076923,17.53846153846154,132.5368672942702,208.26841325828875,6242845.693284578,41367154.90153174,184905.08246801695,fatigue
10.153846153846153,17.53846153846154,128.31392934462323,202.5036833434355,6944861.56706366,46906436.1172759,210129.02246890645,fatigue
10.384615384615385,17.53846153846154,124.27150036403621,196.96670003732856,7716421.460895872,53105077.4058759,238445.34940935927,fatigue
10.615384615384617,17.53846153846154,120.40049153197192,191.64548301938308,8563377.325556325,60032506.226270854,270186.61164860113,fatigue
10.846153846153847,17.53846153846154,116.69228520062406,186.52880875565785,9491983.739993447,67764647.33065951,305715.9593677907,fatigue
11.076923076923077,17.53846153846154,113.13871438694264,181.60616364595472,10508920.217098607,76384462.29603313,345429.5144230335,fatigue
11.307692307692308,17.53846153846154,109.73204258429746,176.8676992538923,11621314.546759015,85982525.77451728,389758.89516452054,fatigue
11.538461538461538,17.53846153846154,106.46494395783286,172.3041896330389,12836767.203591974,96657639.8490439,439173.90440102515,fatigue
11.76923076923077,17.53846153846154,103.33048397721906,167.9069907468002,14163376.84390874,108517487.83279343,494185.3888532542,fatigue
12.0,17.53846153846154,100.32210053221729,163.66800196751612,15609766.913504634,121679328.79502136,555348.2785814074,fatigue
3.0,17.94871794871795,399.0646195583116,570.2601850100896,165943.1877192634,455190.9339873462,2379.25528349252,fatigue
3.230769230769231,17.94871794871795,386.7365117419585,548.5629597173327,183996.40634284168,541521.4973552524,2693.152444953067,fatigue
3.4615384615384617,17.94871794871795,373.57668602449775,527.6309228571067,206201.0520803503,644555.2727974051,3087.726182119655,fatigue
3.6923076923076925,17.94871794871795,360.0917761997246,507.5025304420251,232721.6743456598,767159.6921356343,3570.2113605776403,fatigue
3.9230769230769234,17.94871794871795,346.61153888959984,488.19654811589646,263857.42308259575,912628.7796461441,4150.810514568641,fatigue
4.153846153846154,17.94871794871795,333.3463535513324,469.71653588440336,300014.9568613598,1084734.7516708665,4842.406188692541,fatigue
4.384615384615385,17.94871794871795,320.42660419857185,452.05457391074555,341696.0584757138,1287784.3298741353,5660.537751995371,fatigue
4.615384615384615,17.94871794871795,307.9294497674834,435.19428144748747,389493.0381125186,1526680.134601776,6623.52786130304,fatigue
4.846153846153847,17.94871794871795,295.8969064825106,419.11321951954136,444088.5196406455,1806987.529092656,7752.703656411074,fatigue
5.076923076923077,17.94871794871795,284.34799333258945,403.7847766067088,506257.86348051927,2135007.300414651,9072.685709543392,fatigue
