E_AC_ksi,E_BASE_ksi,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
1588.3666696268983,10.0,140.02115656434037,303.8597941467495,1941680.5367123294,7624380.450070659,33860.67333541245,fatigue
1715.1831784058381,10.0,131.75084414274878,291.1538666565866,2221792.1736470433,9231152.82238216,39028.2977965508,fatigue
1852.1248221466276,10.0,123.93883144144057,278.8868081446125,2544351.617384454,11193131.89930948,45027.85708311213,fatigue
2000.0000000000002,10.0,116.56279642757431,267.04889766862146,2915980.5972356717,13592072.621183243,51997.62579792302,fatigue
100.0,10.608183551394482,919.8937458601574,1052.734098042964,42000.30152557545,29255.793132479026,690.9851805447533,rutting
107.98408271867898,10.608183551394482,883.2389914306759,1027.1230909937635,44965.59882860396,32666.21010675397,735.3185714996021,rutting
116.60562120594504,10.608183551394482,847.2482087415215,1001.5414754416603,48289.370730375435,36571.08221527583,785.4059119779224,rutting
125.9155104576573,10.608183551394482,811.9823971683622,976.0181409762603,52014.8675730168,41051.56124017497,841.9349556500258,rutting
135.96870896824353,10.608183551394482,777.4952513114837,950.5818314901678,56191.40673155642,46203.3662297546,905.6964464219856,rutting
146.824563163788,10.608183551394482,743.8333233100146,925.260986844657,60875.23668310373,52139.588679882196,977.599131854539,rutting
158.5471577381239,10.608183551394482,711.0362473359602,900.083591773397,66130.53300068405,58994.06950494797,1058.6872268214115,rutting
171.20569396005033,10.608183551394482,679.1370157787476,875.0770337463072,72030.54676021881,66925.46986659522,1150.1607237216067,rutting
184.87489818490914,10.608183551394482,648.1622971116816,850.267971232281,78658.92914708608,76122.18496744399,1253.3990139177001,rutting
199.63546298206583,10.608183551394482,618.1327860675755,825.6822135124901,86111.25987973106,86808.28310775533,1369.9883650935672,fatigue
215.57452348237172,10.608183551394482,589.0635774961481,801.3446129084666,94496.81151639765,99250.69306696134,1501.7538929165291,fatigue
232.78617175760255,10.608183551394482,560.96455608956,777.2789700035731,103940.58687399032,113767.91296102761,1650.7967750783826,fatigue
251.37201226837567,10.608183551394482,533.840795009278,753.5079521546969,114585.67277592675,130740.57529994458,1819.5375841728878,fatigue
